"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"2310067E19Rik"	8036	-9.46976294813254	1.39343581672002	59.7309455980337	0.00048763129082523	0.00150174213332223	"2310067E19Rik"	-3.0488798875306	-3.0488798875306	-3.0488798875306	1.34336339549678	1.99381005946779	3.33158911791908
"2310075K07Rik"	1944	-0.814851624677413	2.59112044681099	5.81773426724706	0.0457157141496275	0.0664597126786817	"2310075K07Rik"	1.97447394892049	2.49523700808288	1.8829958748757	3.23026691191007	2.67731628628621	2.85922688476928
"2410002F23Rik"	2514	0.529320305649554	6.52937475961562	18.2171289556534	0.00348500866132246	0.00713562951194995	"2410002F23Rik"	6.71244037985332	6.89429114500485	6.69320477498447	6.31016441293272	6.3166240401607	6.08089586583688
"2410003I16Rik"	3680	-2.67177883850585	2.97225235148781	16.4365465270782	0.00457627314360319	0.00899101445226326	"2410003I16Rik"	1.19074649713547	1.38640493457001	0.910345206889873	2.89299939448498	2.58083505704774	4.81362650525325
"2410004B18Rik"	1709	-1.14318859387776	5.37164000758956	45.147916160517	0.000241725536246458	0.000894674223624519	"2410004B18Rik"	4.54761647544472	4.7444745979579	4.77901943389868	6.04442853065458	5.8420175810385	5.57235135879626
"2410004P03Rik"	1878	-3.60915306448701	0.913576894990711	62.7624363780996	8.3886417500899e-05	0.000426803824468089	"2410004P03Rik"	-1.05544767120937	-1.83654855177515	-1.2435905624259	1.55590752305723	1.77869420731002	2.116772293578
"2410006H16Rik"	461	0.895824854923863	6.89598718639905	26.6428057570559	0.00120151850904449	0.00298886927075137	"2410006H16Rik"	7.2847553745852	7.11739318808599	7.40860007071653	6.66373311537899	6.34260248309598	6.06700404840115
"2410022M11Rik"	1911	0.325834754760137	2.68601829515752	1.06197761463751	0.336164898304093	0.39002706800016	"2410022M11Rik"	2.80048895180152	2.93624642380919	2.75563407561322	2.84759222383364	2.44125482654172	2.15229297631089
"2500004C02Rik"	1898	-2.40469126347011	2.63485244197139	46.1972739349016	0.000224801494993303	0.00084790124682321	"2500004C02Rik"	0.942905700425231	1.41538866709195	0.703329420561972	3.42058806137791	3.5911739859518	3.11465466242658
"2510002D24Rik"	3202	-0.415209214702506	6.14568343949378	9.03679536241466	0.019143205495355	0.03109182618275	"2510002D24Rik"	5.90650855460296	5.89060467710057	5.97452588917421	6.50096452207358	6.39319675880761	6.08779193244471
"2510009E07Rik"	5164	-5.21859245194024	3.83267518225152	218.322392165914	1.20952623616809e-06	3.27326117709929e-05	"2510009E07Rik"	-0.340099513178093	-0.505524665957223	0.105056633498552	4.99985375863724	4.92255449580413	4.39880656324619
"2510022D24Rik"	1468	-1.83134138292056	4.88435175112127	32.2383367290546	0.000683176664199581	0.00194045513753928	"2510022D24Rik"	3.58010460963614	4.05484016824354	3.40221696540673	5.91970921421275	5.61521044372007	4.84109492613168
"2510039O18Rik"	4398	-1.65116052655845	4.59187563763737	18.5770109498115	0.00330639384973213	0.00683574395618938	"2510039O18Rik"	3.52311060652885	3.35807328401704	3.74807468570607	5.89760063276991	4.65673019835348	4.63055083723129
"2610001J05Rik"	3177	0.112488331638525	5.96579872933294	0.96822349416594	0.35705687074182	0.411249605386382	"2610001J05Rik"	6.0523894718574	5.958640551588	6.04977074544666	6.01135233777711	5.88978471018437	5.81607123051566
"2610002M06Rik"	5842	0.799043962470644	4.54825047028566	19.5743281379789	0.00286908281817675	0.00607699663928123	"2610002M06Rik"	5.04492654937839	4.83574874658452	4.77372906383681	4.05107935546293	4.08306785910325	4.14919272685941
