"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"2010315B03Rik"	2786	0.100511549837395	3.79721084877301	0.0249806758759513	0.878165442819294	0.970274125131811	"2010315B03Rik"	4.43707865150999	3.52030436734902	3.46233332613113	3.63794480986329	3.82047218998238	3.65802378640403
"2010320M18Rik"	745	0.0228945696362736	2.72372455749408	0.000995545548830429	0.975569232781784	0.994729927236332	"2010320M18Rik"	2.98599313989672	2.24247237901238	2.90394574640446	2.84088403044696	2.70209871516714	2.52637585219189
"2210016F16Rik"	2822	-0.0569366525778847	7.35731450676384	0.0260889786331576	0.875517693789918	0.969751052606536	"2210016F16Rik"	8.11337462647797	6.25485305777732	7.28515221181891	7.58280378783299	7.28392576071589	6.9872964008839
"2210016L21Rik"	1388	0.0704226447929997	5.7931382783345	0.0427651961699515	0.841114912274385	0.960804792759606	"2210016L21Rik"	6.31237460968459	5.48616185922204	5.60248040592774	5.88340368362373	5.61139536763992	5.6963242940897
"2210406O10Rik"	1705	-0.284828356772484	1.61405529152847	0.0707029569549964	0.796754569201946	0.948915604342858	"2210406O10Rik"	2.16070990555014	-0.948057559483718	2.09901418114087	0.618862759087481	1.43150671561418	2.27687630824742
"2210408I21Rik"	20413	0.28077497711552	3.182218322717	0.166340255267511	0.693627847808685	0.908119317962069	"2210408I21Rik"	2.61604110485585	3.90356372872688	3.18348287193364	2.31670907655831	3.29026376405534	3.27049414198914
"2210414B05Rik"	874	-0.131704945500354	2.88566321272149	0.0224590174581923	0.884424160626261	0.972334415554494	"2210414B05Rik"	3.67444705435284	1.05896375932409	3.02830474649243	3.12356948853594	2.94686159202792	2.24242149422917
"2300009A05Rik"	598	0.747302392976838	4.32220994804363	1.75766891657334	0.219985811824713	0.577314006073846	"2300009A05Rik"	5.22209403839543	3.57961862231387	4.82212968312074	4.0716061355931	3.59961591822246	3.74673622417793
"2310001H17Rik"	769	0.811704923299779	4.68913150356546	2.94152177429194	0.123033870862074	0.43284909456327	"2310001H17Rik"	5.50535195881652	4.19664200628256	5.16802730694401	4.59492118785997	3.70689987543111	4.15136822553185
"2310009B15Rik"	571	-1.15345030812263	3.9094341164061	3.45659463901699	0.098448776807798	0.384921607407582	"2310009B15Rik"	3.89644543776429	2.31407537840609	3.28670008848549	4.4317252817664	3.91300511632752	4.57479820807177
"2310010J17Rik"	538	1.3959280704677	2.2888682096398	3.45548982391496	0.0984943493474639	0.384921607407582	"2310010J17Rik"	3.11316706827388	2.76101894054147	2.49358627920094	1.36151483031089	1.75092293252578	1.2204291493087
"2310011J03Rik"	1659	-0.0555578420742286	6.74512008589218	0.0355863040160206	0.854870364550901	0.965564427424684	"2310011J03Rik"	7.21108300979137	5.95510310641756	6.82363489425671	7.01944960370561	6.54545397660899	6.59862138193334
"2310015A10Rik"	4845	1.61636823367236	3.78763633443889	6.77443902053827	0.0303512700692479	0.192924163657514	"2310015A10Rik"	4.85281470743122	4.13865790360263	3.99160647586704	3.12356948853594	2.70209871516714	2.37556265579155
"2310022A10Rik"	2976	-0.904632083369927	4.52048923717423	3.01680862999539	0.118977355355516	0.425464218582295	"2310022A10Rik"	4.2434024392067	3.41024798443851	4.28753494529032	4.84028225154477	4.93413316731527	4.87387278914348
"2310033P09Rik"	1243	-0.407342418330331	6.62209567661084	1.90279608735678	0.203528571986026	0.55644062947365	"2310033P09Rik"	6.58793199297497	5.89507805408913	6.6614484985264	7.02836405561314	6.70092698802799	6.63559946558289
"2310039H08Rik"	773	0.246260261480611	5.19156835106704	0.345499980572934	0.572198959162357	0.853144039471725	"2310039H08Rik"	5.47337922586129	4.38299160368162	5.83949464573436	5.22629357751895	4.62972457222044	5.10717772194421
"2310040G24Rik"	775	0.380147309807242	1.70377652418749	0.245873995895085	0.632763960430294	0.882785148129261	"2310040G24Rik"	2.34161534728285	0.973090934118464	2.07036893708698	1.65256842280076	1.06741344110729	1.59281501606008
"2310057M21Rik"	5383	0.0810937673564453	4.42517875205285	0.0207261822134128	0.888936567019302	0.973374611304295	"2310057M21Rik"	4.30282833361165	3.6083856454662	5.23408635239217	4.19888713942563	4.3274807795076	4.38252307815012
"2310061I04Rik"	2130	-0.377045400178293	4.46131833586029	0.494495236819515	0.501034788002179	0.815202779276356	"2310061I04Rik"	3.87702517271091	3.80759278247918	4.96124666604831	4.44319849121436	4.68325576584966	4.63580230033995
