"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"2410004B18Rik"	1709	-0.0162875887329545	4.63370686970296	0.0287291647746509	0.869171136830391	0.954408776439594	"2410004B18Rik"	4.65954087330298	4.58178535211239	4.67923241562726	4.4734817111917	4.68036835330022	4.71461383199838
"2410006H16Rik"	461	-0.151709286600306	7.28506108183403	6.81472236671705	0.0283496063782021	0.268175705069882	"2410006H16Rik"	7.27942161866418	7.34136057083644	7.44598892628493	7.21173743442721	7.05424148226183	7.34516174451149
"2410022M11Rik"	1911	0.0863990106702517	2.71852787795699	0.323622055128998	0.583415764245051	0.824365550063608	"2410022M11Rik"	2.63332215467314	2.69439090480954	2.69758659061642	2.72325297357741	2.86917639084362	2.68768641804351
"2510002D24Rik"	3202	-0.111265137949095	5.91561662632049	2.61958896145891	0.140157941709622	0.486345299154087	"2510002D24Rik"	5.84914362217596	6.06561356355533	5.98847361843241	5.83317550203049	5.82714692705296	5.91077031731575
"2510022D24Rik"	1468	-0.026750199619754	3.64587161763904	0.0465947457670537	0.833932506261927	0.941551666681802	"2510022D24Rik"	3.68993566271365	3.88490503345463	3.34288449313308	3.5047134430819	3.9900085293553	3.33596719278914
"2510039O18Rik"	4398	-0.232884024893635	3.60525291672492	3.55894378544627	0.0919941194478557	0.410287567665071	"2510039O18Rik"	3.56336331078489	3.66405229553328	3.88942135096314	3.44761577549317	3.29205563012251	3.68246444664227
"2610001J05Rik"	3177	-0.106448267003807	6.00874823605111	2.43981177102598	0.152877567749818	0.502343273198033	"2610001J05Rik"	6.01111054925256	6.13899453165759	6.02897237373432	5.9791056754288	5.89520741870187	5.9860407702402
"2610002M06Rik"	5842	0.0950156249194924	4.77877557681173	0.490989214244342	0.501276928180442	0.774161459294527	"2610002M06Rik"	4.42817662696421	4.82575971621553	4.90192735475778	4.97117497607412	4.7717150439737	4.70931922210449
"2610005L07Rik"	4009	0.0863950799771722	4.67944413957528	0.693179911677409	0.426719932036496	0.727992928404784	"2610005L07Rik"	4.6651553439346	4.57386810180388	4.66174943584004	4.53263802491295	4.86769436725967	4.75371590786266
"2610008E11Rik"	4229	0.164398333284502	4.90637278178419	2.96771571018367	0.119191800568033	0.455914631629416	"2610008E11Rik"	4.81409539595417	4.70288648503668	4.94386016389452	4.98907092909775	5.05125628749735	4.91418922473718
"2610020C07Rik"	2156	-0.123337082141379	1.12218723449007	0.164460183882805	0.694596270113636	0.88014819274009	"2610020C07Rik"	1.29852000830729	0.881342241112086	1.20098262945875	1.79554813258351	0.0835355506293644	0.942716970940378
"2610024D14Rik"	1748	0.433791657455564	2.12744445618459	3.99012547987559	0.0770017624618678	0.383618410751558	"2610024D14Rik"	2.06499588797946	1.86124648377402	1.76600942925387	1.98581676264419	2.59378178774041	2.36297743715548
"2610035D17Rik"	1848	0.0657149868570108	5.72482178881331	0.786121358770996	0.398449447551386	0.711543412942906	"2610035D17Rik"	5.69986745681475	5.7861440106589	5.58280453229006	5.85529686475717	5.69477897933549	5.7159766052449
"2610044O15Rik8"	1776	0.0707020962256587	3.69665384961988	0.351999721513984	0.567656428023268	0.814613335967013	"2610044O15Rik8"	3.6280371175758	3.60829716706824	3.74509780052782	3.72894058165014	3.77134917010633	3.69323216052191
"2610301B20Rik"	2369	-0.0441199512192329	3.64543271684706	0.138360429659246	0.718561743377875	0.891031940317049	"2610301B20Rik"	3.70636614384675	3.71773261825577	3.56872330231259	3.72360583543364	3.69420006436898	3.44191617099047
"2610306M01Rik"	1034	-0.389344221444652	2.24773990065036	2.91632462968248	0.122018674386427	0.462075947316966	"2610306M01Rik"	2.75414709033253	2.1439035162683	2.33122108818191	1.77506484953576	2.1578123774603	2.14500218502312
"2610318N02Rik"	1668	0.0434626847985211	2.15669196360658	0.0434711132610226	0.839503541836016	0.944554106365877	"2610318N02Rik"	1.94088654689164	2.41602046149209	2.00659486626382	2.2311131134273	2.02008489232764	2.25083226773514
"2610507B11Rik"	8147	0.0837067201497193	7.82117130501853	2.83069745315356	0.126924029562789	0.469459489355593	"2610507B11Rik"	7.84272848063957	7.79170124871153	7.69649741366952	7.87774413051964	7.95560677701337	7.74831259610463
"2610507I01Rik"	2905	-0.560203061508822	3.42529898659269	18.9902740918622	0.00184905717028147	0.0796538085101177	"2610507I01Rik"	3.66212873235858	3.58747618367856	3.75455357583229	3.16232233343159	2.88909468406421	3.27992446829639
"2610524H06Rik"	945	-0.127603783762766	4.10097799265304	1.50193214170874	0.251612786554458	0.602041910095614	"2610524H06Rik"	4.26768122149398	4.16689396536933	4.04778514797686	4.11854992802029	4.01288252630743	3.97052789993664
"2700038G22Rik"	1370	-0.0183836187461401	3.6558696596252	0.0161164555642338	0.901782971321784	0.967848575685545	"2700038G22Rik"	3.82647700229491	3.65907175350065	3.49730092224915	3.46690050879487	3.70547718479664	3.75105954382384
"2700049A03Rik"	6045	0.154621047356767	4.96706935893781	2.66242633900894	0.13733256242557	0.481807367056464	"2700049A03Rik"	5.00328676093907	4.72211736527352	4.92932191299856	5.12071480832638	5.08618671465919	4.91188632148825
"2700062C07Rik"	1032	-0.0727339559478723	2.96842843101571	0.260652465369262	0.622012700740902	0.846194315119227	"2700062C07Rik"	2.84599095146886	3.12114646670297	3.02899985928912	2.89444382708963	2.94725088636651	2.94358120238272
"2700097O09Rik"	5582	-0.258960623363785	4.10354533726645	5.18435708400426	0.048934370073167	0.327775422201075	"2700097O09Rik"	4.28965603395621	4.06514268824198	4.31392679134045	3.96425704585286	4.00377640131978	3.93013476329157
"2700099C18Rik"	1275	0.193619838524372	1.66056190454252	0.739513196004327	0.412235698642743	0.717625873743142	"2700099C18Rik"	1.26932700158444	1.53134519677588	1.83893723549491	1.83566235574299	1.60422590372971	1.79122607713838
